"id","kabupaten","code","name","state_id/id"
"asb_state_city.res_state_city1","True","res_state_city1","Kabupaten Aceh Barat","base.state_id_ac"
"asb_state_city.res_state_city2","True","res_state_city2","Kabupaten Aceh Barat Daya","base.state_id_ac"
"asb_state_city.res_state_city3","True","res_state_city3","Kabupaten Aceh Besar","base.state_id_ac"
"asb_state_city.res_state_city4","True","res_state_city4","Kabupaten Aceh Jaya","base.state_id_ac"
"asb_state_city.res_state_city5","True","res_state_city5","Kabupaten Aceh Selatan","base.state_id_ac"
"asb_state_city.res_state_city6","True","res_state_city6","Kabupaten Aceh Singkil","base.state_id_ac"
"asb_state_city.res_state_city7","True","res_state_city7","Kabupaten Aceh Tamiang","base.state_id_ac"
"asb_state_city.res_state_city8","True","res_state_city8","Kabupaten Aceh Tengah","base.state_id_ac"
"asb_state_city.res_state_city9","True","res_state_city9","Kabupaten Aceh Tenggara","base.state_id_ac"
"asb_state_city.res_state_city10","True","res_state_city10","Kabupaten Aceh Timur","base.state_id_ac"
"asb_state_city.res_state_city11","True","res_state_city11","Kabupaten Aceh Utara","base.state_id_ac"
"asb_state_city.res_state_city12","False","res_state_city12","Kota Banda Aceh","base.state_id_ac"
"asb_state_city.res_state_city13","True","res_state_city13","Kabupaten Bener Meriah","base.state_id_ac"
"asb_state_city.res_state_city14","True","res_state_city14","Kabupaten Bireuen","base.state_id_ac"
"asb_state_city.res_state_city15","True","res_state_city15","Kabupaten Gayo Lues","base.state_id_ac"
"asb_state_city.res_state_city16","False","res_state_city16","Kota Lhokseumawe","base.state_id_ac"
"asb_state_city.res_state_city17","True","res_state_city17","Kabupaten Nagan Raya","base.state_id_ac"
"asb_state_city.res_state_city18","True","res_state_city18","Kabupaten Pidie","base.state_id_ac"
"asb_state_city.res_state_city19","True","res_state_city19","Kabupaten Pidie Jaya","base.state_id_ac"
"asb_state_city.res_state_city20","False","res_state_city20","Kota Sabang","base.state_id_ac"
"asb_state_city.res_state_city21","True","res_state_city21","Kabupaten Simeulue","base.state_id_ac"
"asb_state_city.res_state_city22","False","res_state_city22","Kota Subulussalam","base.state_id_ac"
"asb_state_city.res_state_city23","True","res_state_city23","Kabupaten Gianyar","base.state_id_ba"
"asb_state_city.res_state_city24","True","res_state_city24","Kabupaten Bangli","base.state_id_ba"
"asb_state_city.res_state_city25","True","res_state_city25","Kabupaten Buleleng","base.state_id_ba"
"asb_state_city.res_state_city26","True","res_state_city26","Kabupaten Tabanan","base.state_id_ba"
"asb_state_city.res_state_city27","True","res_state_city27","Kabupaten Karangasem","base.state_id_ba"
"asb_state_city.res_state_city28","True","res_state_city28","Kabupaten Badung","base.state_id_ba"
"asb_state_city.res_state_city29","True","res_state_city29","Kabupaten Jembrana","base.state_id_ba"
"asb_state_city.res_state_city30","True","res_state_city30","Kabupaten Klungkung","base.state_id_ba"
"asb_state_city.res_state_city31","False","res_state_city31","Kota Denpasar","base.state_id_ba"
"asb_state_city.res_state_city32","True","res_state_city32","Kabupaten Bangka Selatan","base.state_id_bb"
"asb_state_city.res_state_city33","True","res_state_city33","Kabupaten Bangka Barat","base.state_id_bb"
"asb_state_city.res_state_city34","True","res_state_city34","Kabupaten Belitung","base.state_id_bb"
"asb_state_city.res_state_city35","False","res_state_city35","Kota Pangkal Pinang","base.state_id_bb"
"asb_state_city.res_state_city36","True","res_state_city36","Kabupaten Bangka Tengah","base.state_id_bb"
"asb_state_city.res_state_city37","True","res_state_city37","Kabupaten Bangka","base.state_id_bb"
"asb_state_city.res_state_city38","True","res_state_city38","Kabupaten Belitung Timur","base.state_id_bb"
"asb_state_city.res_state_city39","True","res_state_city39","Kabupaten Lebak","base.state_id_bt"
"asb_state_city.res_state_city40","True","res_state_city40","Kabupaten Serang","base.state_id_bt"
"asb_state_city.res_state_city41","False","res_state_city41","Kota Serang","base.state_id_bt"
"asb_state_city.res_state_city42","True","res_state_city42","Kabupaten Tangerang","base.state_id_bt"
"asb_state_city.res_state_city43","False","res_state_city43","Kota Tangerang","base.state_id_bt"
"asb_state_city.res_state_city44","True","res_state_city44","Kabupaten Pandeglang","base.state_id_bt"
"asb_state_city.res_state_city45","False","res_state_city45","Kota Tangerang Selatan","base.state_id_bt"
"asb_state_city.res_state_city46","False","res_state_city46","Kota Cilegon","base.state_id_bt"
"asb_state_city.res_state_city47","True","res_state_city47","Kabupaten Seluma","base.state_id_be"
"asb_state_city.res_state_city48","True","res_state_city48","Kabupaten Bengkulu Tengah","base.state_id_be"
"asb_state_city.res_state_city49","False","res_state_city49","Kota Bengkulu","base.state_id_be"
"asb_state_city.res_state_city50","True","res_state_city50","Kabupaten Muko Muko","base.state_id_be"
"asb_state_city.res_state_city51","True","res_state_city51","Kabupaten Rejang Lebong","base.state_id_be"
"asb_state_city.res_state_city52","True","res_state_city52","Kabupaten Kaur","base.state_id_be"
"asb_state_city.res_state_city53","True","res_state_city53","Kabupaten Bengkulu Selatan","base.state_id_be"
"asb_state_city.res_state_city54","True","res_state_city54","Kabupaten Kepahiang","base.state_id_be"
"asb_state_city.res_state_city55","True","res_state_city55","Kabupaten Lebong","base.state_id_be"
"asb_state_city.res_state_city56","True","res_state_city56","Kabupaten Bengkulu Utara","base.state_id_be"
"asb_state_city.res_state_city57","True","res_state_city57","Kabupaten Gunung Kidul","base.state_id_yo"
"asb_state_city.res_state_city58","False","res_state_city58","Kota Yogyakarta","base.state_id_yo"
"asb_state_city.res_state_city59","True","res_state_city59","Kabupaten Kulon Progo","base.state_id_yo"
"asb_state_city.res_state_city60","True","res_state_city60","Kabupaten Sleman","base.state_id_yo"
"asb_state_city.res_state_city61","True","res_state_city61","Kabupaten Bantul","base.state_id_yo"
"asb_state_city.res_state_city62","False","res_state_city62","Jakarta Selatan","base.state_id_jk"
"asb_state_city.res_state_city63","False","res_state_city63","Jakarta Utara","base.state_id_jk"
"asb_state_city.res_state_city64","False","res_state_city64","Jakarta Pusat","base.state_id_jk"
"asb_state_city.res_state_city65","False","res_state_city65","Jakarta Barat","base.state_id_jk"
"asb_state_city.res_state_city66","False","res_state_city66","Jakarta Timur","base.state_id_jk"
"asb_state_city.res_state_city67","True","res_state_city67","Kabupaten Kepulauan Seribu","base.state_id_jk"
"asb_state_city.res_state_city68","True","res_state_city68","Kabupaten Boalemo","base.state_id_go"
